site,instrument_depth_m,total_transect_depth_m,temp_c,pH,datetime_UTC
MKO,5,9,18.61,8.05,2018-10-25T00:00
MKO,5,9,19.43,8.1,2018-10-25T00:30
MKO,5,9,19.49,8.09,2018-10-25T01:00
MKO,5,9,19.5,8.08,2018-10-25T01:30
MKO,5,9,19.52,8.1,2018-10-25T02:00
MKO,5,9,19.45,8.1,2018-10-25T02:30
MKO,5,9,19.3,8.24,2018-10-25T03:00
MKO,5,9,19.38,8.27,2018-10-25T03:30
MKO,5,9,19.4,8.29,2018-10-25T04:00
MKO,5,9,19.28,8.28,2018-10-25T04:30
MKO,5,9,19.33,8.29,2018-10-25T05:00
MKO,5,9,19.41,8.3,2018-10-25T05:30
MKO,5,9,19.43,8.28,2018-10-25T06:00
MKO,5,9,19.35,8.26,2018-10-25T06:30
MKO,5,9,19.3,8.26,2018-10-25T07:00
MKO,5,9,19.35,8.28,2018-10-25T07:30
MKO,5,9,19.25,8.25,2018-10-25T08:00
MKO,5,9,19.19,8.25,2018-10-25T08:30
MKO,5,9,19.11,8.26,2018-10-25T09:00
MKO,5,9,19.11,8.24,2018-10-25T09:30
MKO,5,9,18.96,8.23,2018-10-25T10:00
MKO,5,9,18.82,8.23,2018-10-25T10:30
MKO,5,9,18.64,8.25,2018-10-25T11:00
MKO,5,9,18.53,8.24,2018-10-25T11:30
MKO,5,9,18.46,8.26,2018-10-25T12:00
MKO,5,9,18.44,8.24,2018-10-25T12:30
MKO,5,9,18.54,8.27,2018-10-25T13:00
MKO,5,9,18.51,8.26,2018-10-25T13:30
MKO,5,9,18.56,8.27,2018-10-25T14:00
MKO,5,9,18.69,8.26,2018-10-25T14:30
MKO,5,9,18.87,8.27,2018-10-25T15:00
MKO,5,9,19.01,8.28,2018-10-25T15:30
MKO,5,9,18.99,8.27,2018-10-25T16:00
MKO,5,9,19.05,8.26,2018-10-25T16:30
MKO,5,9,19.05,8.27,2018-10-25T17:00
MKO,5,9,19.12,8.28,2018-10-25T17:30
MKO,5,9,19.16,8.29,2018-10-25T18:00
MKO,5,9,19.28,8.38,2018-10-25T18:30
MKO,5,9,19.22,8.36,2018-10-25T19:00
MKO,5,9,19.18,8.33,2018-10-25T19:30
MKO,5,9,18.54,8.31,2018-10-25T20:00
MKO,5,9,19.14,8.32,2018-10-25T20:30
MKO,5,9,19.21,8.31,2018-10-25T21:00
MKO,5,9,19.26,8.3,2018-10-25T21:30
MKO,5,9,19.36,8.3,2018-10-25T22:00
MKO,5,9,19.51,8.31,2018-10-25T22:30
MKO,5,9,19.62,8.32,2018-10-25T23:00
MKO,5,9,19.6,8.3,2018-10-25T23:30
MKO,5,9,19.69,8.3,2018-10-26T00:00
MKO,5,9,19.48,8.29,2018-10-26T00:30
MKO,5,9,19.37,8.3,2018-10-26T01:00
MKO,5,9,19.48,8.31,2018-10-26T01:30
MKO,5,9,19.55,8.32,2018-10-26T02:00
MKO,5,9,19.66,8.35,2018-10-26T02:30
MKO,5,9,19.33,8.3,2018-10-26T03:00
MKO,5,9,19.44,8.3,2018-10-26T03:30
MKO,5,9,19.58,8.32,2018-10-26T04:00
MKO,5,9,19.51,8.3,2018-10-26T04:30
MKO,5,9,19.44,8.31,2018-10-26T05:00
MKO,5,9,19.37,8.3,2018-10-26T05:30
MKO,5,9,19.05,8.28,2018-10-26T06:00
MKO,5,9,19.14,8.3,2018-10-26T06:30
MKO,5,9,19.11,8.31,2018-10-26T07:00
MKO,5,9,19.11,8.29,2018-10-26T07:30
MKO,5,9,18.9,8.26,2018-10-26T08:00
MKO,5,9,18.61,8.24,2018-10-26T08:30
MKO,5,9,18.72,8.26,2018-10-26T09:00
MKO,5,9,18.73,8.28,2018-10-26T09:30
MKO,5,9,18.83,8.34,2018-10-26T10:00
MKO,5,9,18.73,8.26,2018-10-26T10:30
MKO,5,9,18.7,8.28,2018-10-26T11:00
MKO,5,9,18.8,8.25,2018-10-26T11:30
MKO,5,9,18.77,8.25,2018-10-26T12:00
MKO,5,9,18.78,8.3,2018-10-26T12:30
MKO,5,9,18.78,8.24,2018-10-26T13:00
MKO,5,9,18.87,8.25,2018-10-26T13:30
MKO,5,9,18.85,8.23,2018-10-26T14:00
MKO,5,9,18.92,8.26,2018-10-26T14:30
MKO,5,9,18.79,8.18,2018-10-26T15:00
MKO,5,9,18.8,8.19,2018-10-26T15:30
MKO,5,9,18.89,8.21,2018-10-26T16:00
MKO,5,9,18.98,8.24,2018-10-26T16:30
MKO,5,9,19.11,8.26,2018-10-26T17:00
MKO,5,9,19.22,8.26,2018-10-26T17:30
MKO,5,9,19.13,8.26,2018-10-26T18:00
MKO,5,9,19.17,8.22,2018-10-26T18:30
MKO,5,9,18.94,8.22,2018-10-26T19:00
MKO,5,9,19.19,8.2,2018-10-26T19:30
MKO,5,9,19.11,8.22,2018-10-26T20:00
MKO,5,9,19.14,8.29,2018-10-26T20:30
MKO,5,9,19.16,8.26,2018-10-26T21:00
MKO,5,9,19.2,8.24,2018-10-26T21:30
MKO,5,9,19.29,8.24,2018-10-26T22:00
MKO,5,9,19.33,8.25,2018-10-26T22:30
MKO,5,9,19.44,8.28,2018-10-26T23:00
MKO,5,9,19.51,8.27,2018-10-26T23:30
MKO,5,9,19.48,8.3,2018-10-27T00:00
MKO,5,9,19.48,8.27,2018-10-27T00:30
MKO,5,9,19.4,8.34,2018-10-27T01:00
MKO,5,9,19.42,8.33,2018-10-27T01:30
MKO,5,9,19.48,8.33,2018-10-27T02:00
MKO,5,9,19.69,8.42,2018-10-27T02:30
MKO,5,9,19.65,8.38,2018-10-27T03:00
MKO,5,9,19.64,8.34,2018-10-27T03:30
MKO,5,9,19.67,8.33,2018-10-27T04:00
MKO,5,9,19.63,8.34,2018-10-27T04:30
MKO,5,9,19.44,8.33,2018-10-27T05:00
MKO,5,9,19.41,8.33,2018-10-27T05:30
MKO,5,9,19.22,8.33,2018-10-27T06:00
MKO,5,9,18.93,8.32,2018-10-27T06:30
MKO,5,9,18.9,8.31,2018-10-27T07:00
MKO,5,9,18.97,8.34,2018-10-27T07:30
MKO,5,9,19.07,8.34,2018-10-27T08:00
MKO,5,9,18.96,8.33,2018-10-27T08:30
MKO,5,9,18.88,8.34,2018-10-27T09:00
MKO,5,9,18.95,8.35,2018-10-27T09:30
MKO,5,9,19.02,8.37,2018-10-27T10:00
MKO,5,9,18.94,8.28,2018-10-27T10:30
MKO,5,9,18.87,8.27,2018-10-27T11:00
MKO,5,9,18.89,8.2,2018-10-27T11:30
MKO,5,9,18.94,8.21,2018-10-27T12:00
MKO,5,9,18.94,8.31,2018-10-27T12:30
MKO,5,9,18.82,8.31,2018-10-27T13:00
MKO,5,9,18.77,8.28,2018-10-27T13:30
MKO,5,9,18.75,8.3,2018-10-27T14:00
MKO,5,9,18.79,8.31,2018-10-27T14:30
MKO,5,9,18.77,8.24,2018-10-27T15:00
MKO,5,9,18.77,8.21,2018-10-27T15:30
MKO,5,9,18.77,8.22,2018-10-27T16:00
MKO,5,9,18.83,8.22,2018-10-27T16:30
MKO,5,9,18.94,8.22,2018-10-27T17:00
MKO,5,9,18.9,8.22,2018-10-27T17:30
MKO,5,9,18.93,8.23,2018-10-27T18:00
MKO,5,9,19.01,8.24,2018-10-27T18:30
MKO,5,9,19.05,8.25,2018-10-27T19:00
MKO,5,9,19.11,8.26,2018-10-27T19:30
MKO,5,9,19.1,8.25,2018-10-27T20:00
MKO,5,9,19.14,8.24,2018-10-27T20:30
MKO,5,9,19.42,8.29,2018-10-27T21:00
MKO,5,9,19.44,8.29,2018-10-27T21:30
MKO,5,9,19.52,8.3,2018-10-27T22:00
MKO,5,9,19.54,8.28,2018-10-27T22:30
MKO,5,9,19.57,8.3,2018-10-27T23:00
MKO,5,9,19.58,8.3,2018-10-27T23:30
MKO,5,9,19.54,8.29,2018-10-28T00:00
MKO,5,9,19.46,8.26,2018-10-28T00:30
MKO,5,9,19.39,8.29,2018-10-28T01:00
MKO,5,9,19.33,8.27,2018-10-28T01:30
MKO,5,9,19.3,8.26,2018-10-28T02:00
MKO,5,9,19.34,8.24,2018-10-28T02:30
MKO,5,9,19.38,8.23,2018-10-28T03:00
MKO,5,9,19.39,8.22,2018-10-28T03:30
MKO,5,9,19.41,8.24,2018-10-28T04:00
MKO,5,9,19.41,8.23,2018-10-28T04:30
MKO,5,9,19.23,8.23,2018-10-28T05:00
MKO,5,9,19.37,8.22,2018-10-28T05:30
MKO,5,9,19.41,8.25,2018-10-28T06:00
MKO,5,9,19.18,8.23,2018-10-28T06:30
MKO,5,9,19.06,8.25,2018-10-28T07:00
MKO,5,9,19.15,8.25,2018-10-28T07:30
MKO,5,9,19.07,8.26,2018-10-28T08:00
MKO,5,9,19.01,8.24,2018-10-28T08:30
