site,instrument_depth_m,total_transect_depth_m,temp_c,pH,datetime_UTC
MKO,5,9,19.18,7.99,2018-10-01T00:00
MKO,5,9,19.39,7.98,2018-10-01T00:30
MKO,5,9,19.39,7.99,2018-10-01T01:00
MKO,5,9,18.79,7.98,2018-10-01T01:30
MKO,5,9,18.31,7.96,2018-10-01T02:00
MKO,5,9,17.18,7.91,2018-10-01T02:30
MKO,5,9,16.81,7.91,2018-10-01T03:00
MKO,5,9,16.85,7.91,2018-10-01T03:30
MKO,5,9,17.1,7.94,2018-10-01T04:00
MKO,5,9,16.81,7.91,2018-10-01T04:30
MKO,5,9,16.64,7.9,2018-10-01T05:00
MKO,5,9,17.79,7.96,2018-10-01T05:30
MKO,5,9,18.23,7.98,2018-10-01T06:00
MKO,5,9,18,7.94,2018-10-01T06:30
MKO,5,9,16.93,7.9,2018-10-01T07:00
MKO,5,9,18.1,7.96,2018-10-01T07:30
MKO,5,9,17.74,7.95,2018-10-01T08:00
MKO,5,9,17.4,7.92,2018-10-01T08:30
MKO,5,9,17.25,7.93,2018-10-01T09:00
MKO,5,9,17.13,7.92,2018-10-01T09:30
MKO,5,9,17.09,7.92,2018-10-01T10:00
MKO,5,9,17.07,7.91,2018-10-01T10:30
MKO,5,9,17.04,7.92,2018-10-01T11:00
MKO,5,9,17.25,7.92,2018-10-01T11:30
MKO,5,9,17.58,7.94,2018-10-01T12:00
MKO,5,9,17.67,7.94,2018-10-01T12:30
MKO,5,9,17.76,7.95,2018-10-01T13:00
MKO,5,9,17.8,7.95,2018-10-01T13:30
MKO,5,9,17.98,7.96,2018-10-01T14:00
MKO,5,9,18.04,7.95,2018-10-01T14:30
MKO,5,9,18.08,7.96,2018-10-01T15:00
MKO,5,9,18.24,7.96,2018-10-01T15:30
MKO,5,9,18.35,7.97,2018-10-01T16:00
MKO,5,9,18.42,7.97,2018-10-01T16:30
MKO,5,9,18.56,7.98,2018-10-01T17:00
MKO,5,9,18.52,7.97,2018-10-01T17:30
MKO,5,9,18.52,7.98,2018-10-01T18:00
MKO,5,9,18.54,7.97,2018-10-01T18:30
MKO,5,9,18.56,7.97,2018-10-01T19:00
MKO,5,9,18.63,7.97,2018-10-01T19:30
MKO,5,9,18.77,7.98,2018-10-01T20:00
MKO,5,9,18.84,7.98,2018-10-01T20:30
MKO,5,9,18.93,7.98,2018-10-01T21:00
MKO,5,9,18.97,7.98,2018-10-01T21:30
MKO,5,9,19.15,7.99,2018-10-01T22:00
MKO,5,9,19.19,7.98,2018-10-01T22:30
MKO,5,9,19.18,7.99,2018-10-01T23:00
MKO,5,9,19.22,7.97,2018-10-01T23:30
MKO,5,9,19.24,7.98,2018-10-02T00:00
MKO,5,9,19.2,7.98,2018-10-02T00:30
MKO,5,9,18.22,7.94,2018-10-02T01:00
MKO,5,9,17.85,7.93,2018-10-02T01:30
MKO,5,9,17.53,7.93,2018-10-02T02:00
MKO,5,9,18.46,7.95,2018-10-02T02:30
MKO,5,9,18.8,7.97,2018-10-02T03:00
MKO,5,9,19.11,7.97,2018-10-02T03:30
MKO,5,9,19.21,7.97,2018-10-02T04:00
MKO,5,9,19.22,7.97,2018-10-02T04:30
MKO,5,9,19.13,7.97,2018-10-02T05:00
MKO,5,9,18.99,7.96,2018-10-02T05:30
MKO,5,9,19.06,7.98,2018-10-02T06:00
MKO,5,9,19.13,7.97,2018-10-02T06:30
MKO,5,9,18.56,7.96,2018-10-02T07:00
MKO,5,9,17.75,7.93,2018-10-02T07:30
MKO,5,9,17.39,7.93,2018-10-02T08:00
MKO,5,9,17.42,7.92,2018-10-02T08:30
MKO,5,9,17.22,7.92,2018-10-02T09:00
MKO,5,9,17.29,7.92,2018-10-02T09:30
MKO,5,9,17.2,7.92,2018-10-02T10:00
MKO,5,9,17.18,7.92,2018-10-02T10:30
MKO,5,9,16.57,7.9,2018-10-02T11:00
MKO,5,9,17.21,7.91,2018-10-02T11:30
MKO,5,9,17.71,7.94,2018-10-02T12:00
MKO,5,9,18.04,7.95,2018-10-02T12:30
