Date,Sales
Jan-10,"314,557"
Feb-10,"310,925"
Mar-10,"360,679"
Apr-10,"356,333"
May-10,"365,605"
Jun-10,"358,604"
Jul-10,"361,939"
Aug-10,"362,627"
Sep-10,"345,999"
Oct-10,"355,209"
Nov-10,"365,828"
Dec-10,"426,663"
Jan-11,"335,587"
Feb-11,"337,314"
Mar-11,"387,088"
Apr-11,"380,775"
May-11,"391,999"
Jun-11,"388,700"
Jul-11,"384,682"
Aug-11,"394,609"
Sep-11,"375,025"
Oct-11,"379,482"
Nov-11,"391,220"
Dec-11,"451,821"
Jan-12,"355,184"
Feb-12,"372,401"
Mar-12,"414,149"
Apr-12,"392,949"
May-12,"418,608"
Jun-12,"400,975"
Jul-12,"396,026"
Aug-12,"417,922"
Sep-12,"385,609"
Oct-12,"399,400"
Nov-12,"411,065"
Dec-12,"462,102"
Jan-13,"375,468"
Feb-13,"373,974"
Mar-13,"421,748"
Apr-13,"408,551"
May-13,"437,214"
Jun-13,"414,816"
Jul-13,"422,532"
Aug-13,"435,215"
Sep-13,"396,415"
Oct-13,"415,942"
Nov-13,"424,095"
Dec-13,"477,362"
Jan-14,"383,488"
Feb-14,"380,454"
Mar-14,"433,052"
Apr-14,"431,598"
May-14,"459,441"
Jun-14,"433,458"
Jul-14,"443,498"
Aug-14,"451,663"
Sep-14,"421,628"
Oct-14,"438,697"
Nov-14,"439,344"
Dec-14,"502,208"
Jan-15,"398,555"
Feb-15,"388,766"
Mar-15,"446,581"
Apr-15,"439,993"
May-15,"465,244"
Jun-15,"450,172"
Jul-15,"459,960"
Aug-15,"458,313"
Sep-15,"432,898"
Oct-15,"446,746"
Nov-15,"446,334"
Dec-15,"518,656"
Jan-16,"401,911"
Feb-16,"415,093"
Mar-16,"460,910"
Apr-16,"451,121"
May-16,"470,116"
Jun-16,"464,721"
Jul-16,"462,004"
Aug-16,"471,690"
Sep-16,"448,516"
Oct-16,"453,155"
Nov-16,"467,232"
Dec-16,"539,667"
Jan-17,"421,943"
Feb-17,"418,315"
Mar-17,"483,082"
Apr-17,"465,788"
May-17,"494,621"
Jun-17,"481,729"
Jul-17,"475,374"
Aug-17,"490,324"
Sep-17,"469,710"
Oct-17,"476,014"
Nov-17,"497,748"
Dec-17,"558,215"
Jan-18,"444,286"
Feb-18,"435,373"
Mar-18,"508,383"
Apr-18,"480,373"
May-18,"527,991"
Jun-18,"507,106"
Jul-18,"505,209"
Aug-18,"520,544"
Sep-18,"477,137"
Oct-18,"503,602"
Nov-18,"518,457"
Dec-18,"556,614"
Jan-19,"456,538"
Feb-19,"442,274"
Mar-19,"513,845"
Apr-19,"506,920"
May-19,"544,203"
Jun-19,"515,269"
Jul-19,"528,710"
Aug-19,"541,951"
Sep-19,"493,076"
Oct-19,"522,195"
Nov-19,"532,130"
Dec-19,"587,471"
Jan-20,"480,301"
Feb-20,"478,467"
Mar-20,"478,267"
Apr-20,"407,227"
May-20,"504,607"
Jun-20,"532,678"
Jul-20,"549,416"
Aug-20,"545,307"
Sep-20,"530,987"
Oct-20,"553,114"
Nov-20,"543,273"
Dec-20,"611,429"
